id,subject,session,subses,age_months,speaker,canon,form,gloss,relation,rm,position,preference,request,intent,repair,interact,report,pcg_utts,chi_utts,PtoC,mean_PtoC,sd_PtoC,sd1_include,sd2_include,low_PtoC,logPtoC,mean_logPtoC,sd_logPtoC,sd1_loginclude,sd2_loginclude,low_logPtoC,ses_gest
10290301452,29,3,293,22,CHI,canonical,shrug+pug,disinvest_0,rf,l,3,NA,NA,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301606,29,3,293,22,CHI,non-canonical,shrug+pug,disinvest_1,add,NA,2,2,1,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301672,29,3,293,22,CHI,canonical,shrug+pug,disinvest_0,add,NA,3,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301673,29,3,293,22,CHI,canonical,shrug+pug,disinvest_0,add,NA,3,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301679,29,3,293,22,CHI,non-canonical,shrug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290301884,29,3,293,22,CHI,canonical,shrug+pug,disinvest_0,rf,lp,3,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290302165,29,3,293,22,CHI,canonical,shrug+pug,disinvest_0,rf,lp,1,NA,2,2,NA,NA,NA,1011,1269,0.7966903073286052,2.9815695710499353,2.1910853222617264,TRUE,TRUE,FALSE,-0.2272892486939162,0.8437884329181519,0.7635262892768346,FALSE,TRUE,FALSE,16
10290400631,29,4,294,26.03,CHI,non-canonical,pug,disinvest_0,rf,l,1,NA,2,2,NA,NA,NA,881,584,1.5085616438356164,1.9617046520534007,1.1976932068042234,TRUE,TRUE,FALSE,0.4111566431079524,0.4854144257707947,0.6711767096826904,TRUE,TRUE,FALSE,1
10290700070,29,7,297,37.81,CHI,canonical,pug,invest,rf,NA,1,NA,NA,2,NA,NA,NA,1381,1020,1.353921568627451,1.425524635245515,0.8495822681678706,TRUE,TRUE,FALSE,0.30300524713097543,0.15401919385375457,0.7006273399432608,TRUE,TRUE,FALSE,12
10290700104,29,7,297,37.81,CHI,canonical,pug,disinvest_0,rf,lp,3,NA,2,2,NA,1,NA,1381,1020,1.353921568627451,1.425524635245515,0.8495822681678706,TRUE,TRUE,FALSE,0.30300524713097543,0.15401919385375457,0.7006273399432608,TRUE,TRUE,FALSE,12
